"Código Institución";"Nombre Institución";"Estado Institución";"Carácter Académico";"Sector";"¿Puede Recibir Estudiantes Nuevos?";"Estado Programa";"Descripción Estado Programa";"Fecha de la Resolución";"Número de la Resolución";"Justificación";"Reconocimiento del Ministerio";"Resolución de Aprobación No.";"Fecha de Resolución";"Vigencia (Años)";"Fecha de Registro en SNIES";"Código SNIES del Programa";"Código Anterior (ICFES)";"Área de Conocimiento";"Núcleo Básico del Conocimiento - NBC";"Nombre del Programa";"Nivel Académico";"Nivel de Formación";"Metodología";"Número Créditos";"Número Periodos de Duración";"Periodos de Duración";"Titulo Otorgado";"Departamento Oferta del Programa";"Municipio Oferta del Programa";"Costo Matrícula para Estudiantes Nuevos";"¿Se ofrece por ciclos propedéuticos?";"¿Cada cuánto se hacen admisiones de estudiantes nuevos?"
"1301";"UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS";"ACTIVA";"UNIVERSIDAD";"OFICIAL";"NO";"INACTIVO";"INACTIVO";"";"";"";"";"";"";"";"21/03/1998";"3557";"130150033381100111200";"INGENIERIA, ARQUITECTURA, URBANISMO Y AFINES";"INGENIERIA INDUSTRIAL Y AFINES";"ESPECIALIZACION EN INFORMATICA INDUSTRIAL";"POSGRADO";"Especialización Universitaria";"Presencial";"29";"2";"SEMESTRAL";"ESPECIALISTA EN INFORMATICA INDUSTRIAL";"BOGOTA D.C";"BOGOTA D.C.";"";"NO";""
"1301";"UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS";"ACTIVA";"UNIVERSIDAD";"OFICIAL";"SI";"ACTIVO";"ACTIVO";"";"";"";"";"9801";"23/12/2008";"5";"21/03/1998";"3558";"130159100001100111200";"INGENIERIA, ARQUITECTURA, URBANISMO Y AFINES";"OTRAS INGENIERIAS";"ESPECIALIZACION EN SISTEMAS DE INFORMACION GEOGRAFICA";"POSGRADO";"Especialización Universitaria";"Presencial";"32";"2";"SEMESTRAL";"ESPECIALISTA EN SISTEMAS DE INFORMACION GEOGRAFICA";"BOGOTA D.C";"BOGOTA D.C.";"";"NO";"SEMESTRAL"
"1301";"UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS";"ACTIVA";"UNIVERSIDAD";"OFICIAL";"SI";"ACTIVO";"ACTIVO";"";"";"";"";"8132";"30/05/2014";"7";"21/03/1998";"3559";"130150050001100111200";"INGENIERIA, ARQUITECTURA, URBANISMO Y AFINES";"INGENIERIA DE SISTEMAS, TELEMATICA Y AFINES";"ESPECIALIZACION EN INGENIERIA DE SOFTWARE";"POSGRADO";"Especialización Universitaria";"Presencial";"28";"2";"SEMESTRAL";"ESPECIALISTA EN INGENIERIA DE SOFTWARE";"BOGOTA D.C";"BOGOTA D.C.";"";"NO";"SEMESTRAL"
"1301";"UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS";"ACTIVA";"UNIVERSIDAD";"OFICIAL";"NO";"INACTIVO";"INACTIVO";"";"";"";"";"";"";"";"21/03/1998";"3614";"130157920001100111200";"BELLAS ARTES";"ARTES REPRESENTATIVAS";"ESPECIALIZACION EN VOZ ESCENICA";"POSGRADO";"Especialización Universitaria";"Presencial";"";"3";"SEMESTRAL";"ESPECIALISTA EN VOZ ESCENICA";"BOGOTA D.C";"BOGOTA D.C.";"";"NO";"SEMESTRAL"
"1301";"UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS";"ACTIVA";"UNIVERSIDAD";"OFICIAL";"NO";"INACTIVO";"INACTIVO";"";"";"";"";"2307";"28/04/2009";"4";"21/03/1998";"4046";"130126580511100111100";"INGENIERIA, ARQUITECTURA, URBANISMO Y AFINES";"INGENIERIA MECANICA Y AFINES";"TECNOLOGÍA INDUSTRIAL";"PREGRADO";"Tecnológica";"Presencial";"106";"6";"SEMESTRAL";"TECNÓLOGO INDUSTRIAL";"BOGOTA D.C";"BOGOTA D.C.";"";"NO";"SEMESTRAL"
"1301";"UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS";"ACTIVA";"UNIVERSIDAD";"OFICIAL";"NO";"INACTIVO";"INACTIVO";"";"";"";"";"959";"19/02/2010";"4";"21/03/1998";"4047";"130126200101100111100";"INGENIERIA, ARQUITECTURA, URBANISMO Y AFINES";"INGENIERIA MECANICA Y AFINES";"TECNOLOGIA MECANICA";"PREGRADO";"Tecnológica";"Presencial";"107";"6";"SEMESTRAL";"TECNOLOGO MECANICO";"BOGOTA D.C";"BOGOTA D.C.";"";"SI";"SEMESTRAL"
"1301";"UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS";"ACTIVA";"UNIVERSIDAD";"OFICIAL";"SI";"ACTIVO";"ACTIVO";"";"";"";"";"3326";"25/04/2011";"6";"21/03/1998";"4048";"130126210381100111100";"INGENIERIA, ARQUITECTURA, URBANISMO Y AFINES";"INGENIERIA ELECTRONICA, TELECOMUNICACIONES Y AFINES";"TECNOLOGIA EN ELECTRONICA";"PREGRADO";"Tecnológica";"Presencial";"107";"6";"SEMESTRAL";"TECNOLOGO EN ELECTRONICA";"BOGOTA D.C";"BOGOTA D.C.";"";"NO";"SEMESTRAL"
"1301";"UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS";"ACTIVA";"UNIVERSIDAD";"OFICIAL";"SI";"ACTIVO";"ACTIVO";"";"";"";"";"12273";"22/12/2010";"6";"21/03/1998";"4049";"130126210311100111100";"INGENIERIA, ARQUITECTURA, URBANISMO Y AFINES";"INGENIERIA ELECTRICA Y AFINES";"TECNOLOGIA EN ELECTRICIDAD";"PREGRADO";"Tecnológica";"Presencial";"101";"6";"SEMESTRAL";"TECNOLOGO EN ELECTRICIDAD";"BOGOTA D.C";"BOGOTA D.C.";"";"NO";"SEMESTRAL"
"1301";"UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS";"ACTIVA";"UNIVERSIDAD";"OFICIAL";"NO";"INACTIVO";"INACTIVO";"";"";"";"";"";"";"";"21/03/1998";"4550";"130163010011100111100";"CIENCIAS SOCIALES Y HUMANAS";"ANTROPOLOGIA, ARTES LIBERALES";"MAESTRIA EN INVESTIGACION INTERDISCIPLINARIA EN CIENCIAS HUMANAS";"POSGRADO";"Maestría";"Presencial";"";"4";"SEMESTRAL";"MAGISTER EN INVESTIGACION INTERDISCIPLINARIA EN CIENCIAS HUMANAS";"BOGOTA D.C";"BOGOTA D.C.";"";"NO";"SEMESTRAL"
"1301";"UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS";"ACTIVA";"UNIVERSIDAD";"OFICIAL";"NO";"INACTIVO";"INACTIVO";"";"";"";"";"";"";"";"21/03/1998";"4749";"130153706581100111100";"ECONOMIA, ADMINISTRACION, CONTADURIA Y AFINES";"ADMINISTRACION";"ESPECIALIZACION EN GERENCIA DE PROYECTOS EDUCATIVOS INSTITUCIONALES";"POSGRADO";"Especialización Universitaria";"Presencial";"";"2";"SEMESTRAL";"ESPECIALISTA EN GERENCIA DE PROYECTOS EDUCATIVOS INSTITUCIONALES";"BOGOTA D.C";"BOGOTA D.C.";"";"NO";"SIN DEFINIR"
